Data,Bochenek_chleba,Litr_benzyny,kWh_energii,Åšrednia_krajowa
Jan-11,0.90,1.59,0.15,1783.88
Feb-11,0.91,1.60,0.15,1789.32
Mar-11,0.89,1.59,0.15,1799.11
Apr-11,0.87,1.61,0.15,1794.75
May-11,0.88,1.65,0.15,1809.98
Jun-11,0.88,1.61,0.15,1804.54
Jul-11,0.89,1.62,0.17,1814.33
Aug-11,0.89,1.63,0.17,1819.77
Sep-11,0.90,1.63,0.17,1825.21
Oct-11,0.88,1.63,0.17,1835.00
Nov-11,0.88,1.64,0.17,1829.56
Dec-11,0.90,1.66,0.17,1840.44
Jan-12,0.92,1.69,0.18,1828.47
Feb-12,0.95,1.69,0.18,1832.83
Mar-12,0.95,1.74,0.18,1849.14
Apr-12,0.95,1.81,0.18,1843.70
May-12,0.96,1.81,0.18,1838.26
Jun-12,0.98,1.73,0.18,1853.49
Jul-12,0.99,1.76,0.20,1858.93
Aug-12,0.99,1.79,0.20,1864.37
Sep-12,0.99,1.83,0.20,1869.81
Oct-12,1.00,1.80,0.20,1879.60
Nov-12,1.03,1.77,0.20,1874.16
Dec-12,1.02,1.71,0.20,1886.12
Jan-13,1.02,1.67,0.19,1899.18
Feb-13,0.99,1.67,0.19,1903.53
Mar-13,1.01,1.69,0.19,1908.97
Apr-13,1.03,1.70,0.19,1914.40
May-13,1.03,1.66,0.19,1919.84
Jun-13,1.03,1.67,0.19,1936.16
Jul-13,0.99,1.65,0.20,1930.72
Aug-13,1.00,1.68,0.20,1925.28
Sep-13,1.03,1.72,0.20,1941.60
Oct-13,1.00,1.65,0.20,1945.95
Nov-13,1.01,1.63,0.20,2166.76
Dec-13,1.00,1.66,0.20,1957.91
Jan-14,1.02,1.67,0.21,1951.39
Feb-14,0.96,1.65,0.21,1961.18
Mar-14,0.92,1.64,0.21,1970.97
Apr-14,0.92,1.65,0.21,1978.58
May-14,0.90,1.68,0.21,1991.63
Jun-14,0.93,1.71,0.21,1998.16
Jul-14,0.91,1.75,0.22,2015.72
Aug-14,0.92,1.72,0.22,1999.97
Sep-14,0.89,1.72,0.22,2020.05
Oct-14,0.94,1.70,0.22,2038.16
Nov-14,0.89,1.64,0.22,2033.32
Dec-14,0.90,1.57,0.22,2072.02
Jan-15,0.91,1.52,0.23,2096.81
Feb-15,0.90,1.55,0.26,2176.94
Mar-15,0.92,1.64,0.25,2243.87
Apr-15,0.86,1.66,0.27,2235.18
May-15,0.84,1.71,0.25,2244.27
Jun-15,0.87,1.72,0.26,2246.50
Jul-15,0.87,1.76,0.27,2290.68
Aug-15,0.86,1.71,0.25,2253.14
Sep-15,0.85,1.62,0.25,2203.34
Oct-15,0.85,1.60,0.24,2225.64
Nov-15,0.88,1.64,0.24,2309.17
Dec-15,0.87,1.55,0.21,2264.07
Jan-16,0.80,1.46,0.22,2153.26
Feb-16,0.82,1.41,0.19,2100.09
Mar-16,0.82,1.42,0.20,2111.38
Apr-16,0.80,1.45,0.19,2087.45
May-16,0.81,1.51,0.20,2129.91
Jun-16,0.80,1.51,0.21,2089.17
Jul-16,0.72,1.43,0.20,1970.73
Aug-16,0.74,1.38,0.19,1934.03
Sep-16,0.71,1.41,0.27,1949.19
Oct-16,0.70,1.38,0.28,1865.75
Nov-16,0.73,1.45,0.35,1926.04
Dec-16,0.75,1.46,0.26,1991.99
Jan-17,0.75,1.48,0.28,1920.96
Feb-17,0.77,1.51,0.26,1953.39
Mar-17,0.76,1.48,0.22,1948.46
Apr-17,0.77,1.49,0.22,1995.04
May-17,0.76,1.46,0.21,1979.93
Jun-17,0.75,1.42,0.20,1930.48
Jul-17,0.74,1.39,0.22,1909.37
Aug-17,0.73,1.37,0.21,1858.06
Sep-17,0.74,1.44,0.23,1904.29
Oct-17,0.75,1.42,0.23,1920.67
Nov-17,0.75,1.45,0.26,1932.56
Dec-17,0.76,1.47,0.28,1965.15
Jan-18,0.77,1.48,0.26,1935.61
Feb-18,0.75,1.48,0.27,1940.35
Mar-18,0.75,1.46,0.29,1959.23
Apr-18,0.77,1.49,0.26,1982.51
May-18,0.75,1.53,0.27,1996.32
Jun-18,0.75,1.57,0.27,1997.89
Jul-18,0.75,1.55,0.29,1971.73
Aug-18,0.73,1.55,0.31,1971.50
Sep-18,0.73,1.58,0.34,1972.03
Oct-18,0.75,1.60,0.33,2007.68
Nov-18,0.76,1.58,0.31,2022.57
Dec-18,0.74,1.46,0.32,1992.05
Jan-19,0.76,1.46,0.31,1996.89
Feb-19,0.80,1.48,0.26,2036.44
Mar-19,0.82,1.54,0.23,2096.73
Apr-19,0.80,1.57,0.23,2098.15
May-19,0.80,1.60,0.21,2089.85
Jun-19,0.76,1.56,0.20,2031.94
Jul-19,0.77,1.54,0.21,2021.80
Aug-19,0.74,1.53,0.19,1988.35
Sep-19,0.74,1.56,0.19,2044.31
Oct-19,0.75,1.59,0.19,2096.31
Nov-19,0.76,1.60,0.24,2138.88
Dec-19,0.79,1.61,0.21,2187.72
Jan-20,0.78,1.64,0.19,2159.72
Feb-20,0.79,1.62,0.17,2190.67
Mar-20,0.74,1.48,0.16,2059.55
Apr-20,0.76,1.41,0.12,2046.82
May-20,0.74,1.34,0.12,2026.49
Jun-20,0.73,1.34,0.14,2033.85
Jul-20,0.72,1.38,0.15,2054.39
Aug-20,0.74,1.40,0.19,2084.60
Sep-20,0.73,1.39,0.22,2091.73
Oct-20,0.73,1.40,0.22,2116.47
Nov-20,0.74,1.41,0.23,2141.03
Dec-20,0.72,1.40,0.29,2148.77
Jan-21,0.74,1.46,0.45,2143.00
Feb-21,0.80,1.53,0.29,2206.07
Mar-21,0.81,1.60,0.30,2265.15
Apr-21,0.80,1.60,0.36,2270.60
May-21,0.75,1.63,0.40,2278.40
Jun-21,0.79,1.66,0.41,2300.66
Jul-21,0.78,1.72,0.49,2310.50
Aug-21,0.78,1.73,0.57,2324.27
Sep-21,0.78,1.73,1.20,2349.01
Oct-21,0.79,1.80,1.01,2381.24
Nov-21,0.80,1.89,1.10,2387.27
Dec-21,0.80,1.89,1.37,2425.03
